ani	N	sum_prior_a	sum_prior_p	EN_imp_a	EN_imp_p	EN_auto	EN_autofilt
1	3	0	0.119318181818182	3	3.11931818181818	3	3
10	1	0	0.472895403633078	1	1.47289540363308	1	1
11	3	1	0.381456380338941	4	3.38145638033894	6	4
12	4	0	0.205712235906631	4	4.20571223590663	5	5
13	5	1	0.525042375802232	6	5.52504237580223	6	6
14	6	0	0	6	6	6	6
15	3	0	0.321378211288189	3	3.32137821128819	3	3
16	2	0	0.324916820282653	2	2.32491682028265	2	2
17	4	0	0.351047060478254	4	4.35104706047825	4	4
18	2	1	0.477893419592092	3	2.47789341959209	2	2
19	6	0	0.201786555781477	6	6.20178655578148	7	7
2	2	1	0.142045454545455	3	2.14204545454545	2	2
20	1	0	0.715600476878615	1	1.71560047687861	1	1
21	4	1	0.617583861889482	5	4.61758386188948	5	5
22	4	0	0.139072847682119	4	4.13907284768212	4	4
23	5	0	0	5	5	5	5
24	5	0	0.273081924577373	5	5.27308192457737	5	5
25	4	0	0.299096192660922	4	4.29909619266092	4	4
26	0	0	0.500612007478053	0	0.500612007478053	0	0
27	3	1	0.3200468309297	4	3.3200468309297	4	4
28	1	1	0.601488709433684	2	1.60148870943368	2	2
29	2	2	0.66810953667438	4	2.66810953667438	3	3
3	5	0	0	5	5	5	5
30	3	1	0.604856662523735	4	3.60485666252374	3	3
4	5	0	0	5	5	6	6
5	1	0	0	1	1	1	1
6	0	0	0.0852272727272727	0	0.0852272727272727	0	0
7	1	0	0.142045454545455	1	1.14204545454545	2	2
8	0	0	0.0852272727272727	0	0.0852272727272727	0	0
9	3	1	0.404687198128356	4	3.40468719812836	4	4
991	0	0	0.0852272727272727	0	0.0852272727272727	0	0
992	0	0	0.0852272727272727	0	0.0852272727272727	0	0
993	0	0	0.0852272727272727	0	0.0852272727272727	0	0
994	0	0	0.0852272727272727	0	0.0852272727272727	0	0
995	0	0	0.0852272727272727	0	0.0852272727272727	0	0
996	0	0	0.500612007478053	0	0.500612007478053	0	0
997	0	0	0.0917992656058751	0	0.0917992656058751	0	0
998	0	0	0.500612007478053	0	0.500612007478053	0	0
999	0	0	0.500612007478053	0	0.500612007478053	0	0
